"Estado","emp","seg","dep","PL","lucros","gov_ca","gov_cf","gov_aud","maior_rem","plr_rva","qde_empregados","desp_investimento","desp_pessoal","Dividendos","Subvenção","Reforço de Capital","Resultado para o Estado Acionista","setor","Nome_estado","REGIAO","gov","result_NA","ROE","PL_formatado","Empresa","cat_ROE","setores_principais","sinal_ROE"
"MT","EMPRESA MATO-GROSSENSE DE TECNOLOGIA DA INFORMAÇÃO - MTI","INFORMATICA","Dependente",8622483.09,14871569.91,"SIM","SIM","NÃO","53210.22","Não",297,0,69342810.06,0,74492176.37,0,-74492176.37,"INFORMÁTICA","Mato Grosso","Centro-oeste",FALSE,FALSE,1.72474329665516,"     8.622.483,09","EMPRESA MATO-GROSSENSE DE TECNOLOGIA DA INFORMAÇÃO - MTI (MT)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: INFORMÁTICA
PL: R$      8.622.483,09
Lucros / Prejuízos no ano: R$    14.871.569,91
ROE: 172.4700%","bem_pos","INFORMÁTICA","Positivo"
"MT","MT PARTICIPAÇÕES E PROJETOS S.A - MT PAR","OUTRO","Dependente",40001869.75,966771.11,"SIM","SIM","NÃO","18250.900000000001","Não",24,0,3240179.93,0,4688395.37,0,-4688395.37,"GESTÃO DE ATIVOS","Mato Grosso","Centro-oeste",FALSE,FALSE,0.02416814804013,"    40.001.869,75","MT PARTICIPAÇÕES E PROJETOS S.A - MT PAR (MT)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: GESTÃO DE ATIVOS
PL: R$     40.001.869,75
Lucros / Prejuízos no ano: R$       966.771,11
ROE: 2.4200%","pos","GESTÃO DE ATIVOS","Positivo"
"MS","COMPANHIA DE GÁS DO ESTADO DE MATO GROSSO DO SUL - MSGÁS","GÁS NATURAL","Não Dependente",46021817.36,41006103.49,"SIM","SIM","SIM","27599.75","Sim",83,14606887.79,26008866.4,6164574.19,0,0,6164574.19,"DISTRIBUIÇÃO DE GÁS","Mato Grosso do Sul","Centro-oeste",TRUE,FALSE,0.891014432768589,"    46.021.817,36","COMPANHIA DE GÁS DO ESTADO DE MATO GROSSO DO SUL - MSGÁS (MS)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$     46.021.817,36
Lucros / Prejuízos no ano: R$    41.006.103,49
ROE: 89.1000%","bem_pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"MS","EMPRESA DE SANEAMENTO DE MATO GROSSO DO SUL S.A.- SANESUL","SANEAMENTO","Não Dependente",814537988,83445108.48,"SIM","SIM","SIM","26641.55","Sim",1510,167731620.14,166380133.23,17038.24,0,0,17038.24,"SANEAMENTO","Mato Grosso do Sul","Centro-oeste",TRUE,FALSE,0.102444710632698,"   814.537.988,00","EMPRESA DE SANEAMENTO DE MATO GROSSO DO SUL S.A.- SANESUL (MS)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$    814.537.988,00
Lucros / Prejuízos no ano: R$    83.445.108,48
ROE: 10.2400%","pos","SANEAMENTO","Positivo"
"MG","BDMG","FINANCEIRO","Não Dependente",1820883000,84131000,"SIM","SIM","SIM","40285","Sim",526,50756984.46,112567000,67399110.88,0,67514552.17,-115441.290000007,"FINANCEIRO","Minas gerais","Sudeste",TRUE,FALSE,0.0462034079070429," 1.820.883.000,00","BDMG (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$  1.820.883.000,00
Lucros / Prejuízos no ano: R$    84.131.000,00
ROE: 4.6200%","pos","FINANCEIRO","Positivo"
"MG","CEMIG","ENERGIA","Não Dependente",15890865000,3128073000,"SIM","SIM","SIM","70000","Sim",5934,7062580000,1271518000,47855.37,0,0,47855.37,"ENERGIA","Minas gerais","Sudeste",TRUE,FALSE,0.196847245256945,"15.890.865.000,00","CEMIG (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: ENERGIA
PL: R$ 15.890.865.000,00
Lucros / Prejuízos no ano: R$ 3.128.073.000,00
ROE: 19.6800%","pos","ENERGIA","Positivo"
"MG","CEMIG D","ENERGIA","Não Dependente",4708208000,1644366000,"SIM","SIM","SIM","59000","Sim",4425,5226277000,869289000,0,0,0,NA,"ENERGIA","Minas gerais","Sudeste",TRUE,TRUE,0.349255173093457," 4.708.208.000,00","CEMIG D (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: ENERGIA
PL: R$  4.708.208.000,00
Lucros / Prejuízos no ano: R$ 1.644.366.000,00
ROE: 34.9300%","pos","ENERGIA","Positivo"
"MG","CEMIG GT","ENERGIA","Não Dependente",5136201000,835078000,"SIM","SIM","SIM","70000","Sim",1410,944265000,321745000,0,0,0,NA,"ENERGIA","Minas gerais","Sudeste",TRUE,TRUE,0.162586705621528," 5.136.201.000,00","CEMIG GT (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: ENERGIA
PL: R$  5.136.201.000,00
Lucros / Prejuízos no ano: R$   835.078.000,00
ROE: 16.2600%","pos","ENERGIA","Positivo"
"MG","CODEMGE","DESENVOLVIMENTO","Não Dependente",2154701000,880556000,"SIM","SIM","SIM","60151.96","Sim",668,6226689.36,61085000,27236665.68,0,-124303000,151539665.68,"DESENVOLVIMENTO","Minas gerais","Sudeste",TRUE,FALSE,0.408667374266778," 2.154.701.000,00","CODEMGE (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DESENVOLVIMENTO
PL: R$  2.154.701.000,00
Lucros / Prejuízos no ano: R$   880.556.000,00
ROE: 40.8700%","pos","DESENVOLVIMENTO","Positivo"
"MG","CODEMIG","DESENVOLVIMENTO","Não Dependente",739116000,1075550000,"SIM","SIM","SIM",NA,"Sim",31,439616680.09,4233000,439618243.28,0,124303000,315315243.28,"DESENVOLVIMENTO","Minas gerais","Sudeste",TRUE,FALSE,1.45518430124635,"   739.116.000,00","CODEMIG (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DESENVOLVIMENTO
PL: R$    739.116.000,00
Lucros / Prejuízos no ano: R$ 1.075.550.000,00
ROE: 145.5200%","bem_pos","DESENVOLVIMENTO","Positivo"
"MG","CODEPAR","DESENVOLVIMENTO","Não Dependente",371758000,13871000,"SIM","SIM","SIM",NA,"Não",0,NA,NA,0,0,0,NA,"DESENVOLVIMENTO","Minas gerais","Sudeste",TRUE,TRUE,0.0373119072084528,"   371.758.000,00","CODEPAR (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DESENVOLVIMENTO
PL: R$    371.758.000,00
Lucros / Prejuízos no ano: R$    13.871.000,00
ROE: 3.7300%","pos","DESENVOLVIMENTO","Positivo"
"MG","COPANOR","SANEAMENTO","Não Dependente",128783000,-17972000,"NÃO","SIM","NÃO","7178.5","Não",465,34102878.01,19057344.95,0,0,0,NA,"SANEAMENTO","Minas gerais","Sudeste",FALSE,TRUE,-0.139552580697763,"   128.783.000,00","COPANOR (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: SANEAMENTO
PL: R$    128.783.000,00
Lucros / Prejuízos no ano: R$   -17.972.000,00
ROE: -13.9600%","neg","SANEAMENTO","Negativo"
"MG","COPASA","SANEAMENTO","Não Dependente",6743713000,754374000,"SIM","SIM","SIM","48294.59","Sim",12652,1265735110.46,1415206000,136917186.33,0,0,136917186.33,"SANEAMENTO","Minas gerais","Sudeste",TRUE,FALSE,0.11186330141867," 6.743.713.000,00","COPASA (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  6.743.713.000,00
Lucros / Prejuízos no ano: R$   754.374.000,00
ROE: 11.1900%","pos","SANEAMENTO","Positivo"
"MG","EMATER","ASSIS. TÉCNICA","Dependente",56089013.75,2983840.68,"SIM","SIM","NÃO","31122.54","Não",1973,1130031.26,266218137.13,0,202319004.16,0,-202319004.16,"PESQUISA E ASSISTÊNCIA TÉCNICA","Minas gerais","Sudeste",FALSE,FALSE,0.0531983089112527,"    56.089.013,75","EMATER (MG)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: PESQUISA E ASSISTÊNCIA TÉCNICA
PL: R$     56.089.013,75
Lucros / Prejuízos no ano: R$     2.983.840,68
ROE: 5.3200%","pos","PESQUISA E ASSISTÊNCIA TÉCNICA","Positivo"
"MG","EMC","COMUNICAÇÕES","Dependente",36746012.81,699255.34,"SIM","SIM","NÃO","9191.0300000000007","Não",107,NA,8801854.17,0,10894276.37,0,-10894276.37,"COMUNICAÇÃO","Minas gerais","Sudeste",FALSE,FALSE,0.0190294207868372,"    36.746.012,81","EMC (MG)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: COMUNICAÇÃO
PL: R$     36.746.012,81
Lucros / Prejuízos no ano: R$       699.255,34
ROE: 1.9000%","pos","Demais","Positivo"
"MG","EPAMIG","PESQUISA","Dependente",3123717.3,756922.16,"SIM","SIM","NÃO","23518.86","Não",875,4203428.97,92447339.81,0,97282763.64,0,-97282763.64,"PESQUISA E ASSISTÊNCIA TÉCNICA","Minas gerais","Sudeste",FALSE,FALSE,0.242314552600519,"     3.123.717,30","EPAMIG (MG)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: PESQUISA E ASSISTÊNCIA TÉCNICA
PL: R$      3.123.717,30
Lucros / Prejuízos no ano: R$       756.922,16
ROE: 24.2300%","pos","PESQUISA E ASSISTÊNCIA TÉCNICA","Positivo"
"MG","GASMIG","DISTRIBUIÇÃO DE GÁS","Não Dependente",995408000,164558000,"SIM","SIM","SIM","58349.41","Sim",285,44969000,52125000,0,0,0,NA,"DISTRIBUIÇÃO DE GÁS","Minas gerais","Sudeste",TRUE,TRUE,0.165317136289843,"   995.408.000,00","GASMIG (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$    995.408.000,00
Lucros / Prejuízos no ano: R$   164.558.000,00
ROE: 16.5300%","pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"MG","METROMINAS","TRANSPORTES","Não Dependente",95428,-213761,"SIM","SIM","NÃO","9000","Não",1,NA,170633,0,0,0,NA,"TRANSPORTES","Minas gerais","Sudeste",FALSE,TRUE,-2.24002389235864,"        95.428,00","METROMINAS (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$         95.428,00
Lucros / Prejuízos no ano: R$      -213.761,00
ROE: -224.0000%","bem_neg","TRANSPORTES","Negativo"
"MG","MGI","GESTÃO DE ATIVOS","Não Dependente",443431745.53,-8494374.33,"SIM","SIM","SIM","12373.72","Não",85,78287001.88,9259668.32,0,0,57457711.49,-57457711.49,"GESTÃO DE ATIVOS","Minas gerais","Sudeste",TRUE,FALSE,-0.0191559905568947,"   443.431.745,53","MGI (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: GESTÃO DE ATIVOS
PL: R$    443.431.745,53
Lucros / Prejuízos no ano: R$    -8.494.374,33
ROE: -1.9200%","neg","GESTÃO DE ATIVOS","Negativo"
"MG","MGS","OUTRO","Não Dependente",32365402.9,501190.44,"SIM","SIM","SIM","15881.98","Não",24545,NA,71005966.69,10763463.4,0,0,10763463.4,"GESTÃO DE ATIVOS","Minas gerais","Sudeste",TRUE,FALSE,0.0154853762070733,"    32.365.402,90","MGS (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: GESTÃO DE ATIVOS
PL: R$     32.365.402,90
Lucros / Prejuízos no ano: R$       501.190,44
ROE: 1.5500%","pos","GESTÃO DE ATIVOS","Positivo"
"MG","PRODEMGE","INFORMÁTICA","Não Dependente",77490690,7676523,"SIM","SIM","SIM","20950.900000000001","Não",1116,5459585.96,140613032.48,0,0,0,NA,"INFORMÁTICA","Minas gerais","Sudeste",TRUE,TRUE,0.0990638101170605,"    77.490.690,00","PRODEMGE (MG)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: INFORMÁTICA
PL: R$     77.490.690,00
Lucros / Prejuízos no ano: R$     7.676.523,00
ROE: 9.9100%","pos","INFORMÁTICA","Positivo"
"PA","BANCO DO ESTADO DO PARÁ","FINANCEIRO","Não Dependente",1365474472.56,324051731.33,"SIM","SIM","SIM","26113.55","Sim",2388,31398001.05,500557783.33,128769805.89,0,0,128769805.89,"FINANCEIRO","Pará","Norte",TRUE,FALSE,0.237318044271063," 1.365.474.472,56","BANCO DO ESTADO DO PARÁ (PA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$  1.365.474.472,56
Lucros / Prejuízos no ano: R$   324.051.731,33
ROE: 23.7300%","pos","FINANCEIRO","Positivo"
"PA","CENTRAL DE ABASTECIMENTO DO PARÁ","ABASTECIMENTO","Dependente",4124627.42,327277.49,"SIM","SIM","SIM","17581","Não",77,246177.84,5659338.7,0,9249668.55,30073.99,-9279742.54,"ABASTECIMENTO","Pará","Norte",TRUE,FALSE,0.0793471644040033,"     4.124.627,42","CENTRAL DE ABASTECIMENTO DO PARÁ (PA)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: ABASTECIMENTO
PL: R$      4.124.627,42
Lucros / Prejuízos no ano: R$       327.277,49
ROE: 7.9300%","pos","ABASTECIMENTO","Positivo"
"PA","COMPANHIA ADMINISTRADORA DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO","DESENVOLVIMENTO","Não Dependente",24141052.72,-112477.55,"SIM","SIM","NÃO",NA,"Não",0,0,0,0,0,2e+05,-2e+05,"DESENVOLVIMENTO","Pará","Norte",FALSE,FALSE,-0.00465918165643275,"    24.141.052,72","COMPANHIA ADMINISTRADORA DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO (PA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$     24.141.052,72
Lucros / Prejuízos no ano: R$      -112.477,55
ROE: -0.4700%","neg","DESENVOLVIMENTO","Negativo"
"PA","COMPANHIA DE DESENVOLVIMENTO ECONÔMICO DO PARÀ","DESENVOLVIMENTO","Dependente",56909668.65,319460.06,"SIM","SIM","NÃO","17036","Não",38,1266169.72,4141832.64,0,4323168.75,0,-4323168.75,"DESENVOLVIMENTO","Pará","Norte",FALSE,FALSE,0.00561345844349772,"    56.909.668,65","COMPANHIA DE DESENVOLVIMENTO ECONÔMICO DO PARÀ (PA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$     56.909.668,65
Lucros / Prejuízos no ano: R$       319.460,06
ROE: 0.5600%","pos","DESENVOLVIMENTO","Positivo"
"PA","COMPANHIA DE GÁS DO PARÁ","DISTRIBUIÇÃO DE GÁS","Não Dependente",315,1256,"SIM","SIM","NÃO",NA,"Não",2,NA,351058,0,471750,376,-472126,"DISTRIBUIÇÃO DE GÁS","Pará","Norte",FALSE,FALSE,3.98730158730159,"           315,00","COMPANHIA DE GÁS DO PARÁ (PA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$            315,00
Lucros / Prejuízos no ano: R$         1.256,00
ROE: 398.7300%","bem_pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"PA","COMPANHIA DE HABITAÇÃO DO ESTADO DO PARÁ","SERVIÇOS PÚBLICOS","Dependente",115300312.78,-743828.14,"SIM","SIM","NÃO","23087.39","Não",172,10806425.05,28747495.14,0,51767489.88,0,-51767489.88,"HABITAÇÃO E URBANIZAÇÃO","Pará","Norte",FALSE,FALSE,-0.00645122395651493,"   115.300.312,78","COMPANHIA DE HABITAÇÃO DO ESTADO DO PARÁ (PA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$    115.300.312,78
Lucros / Prejuízos no ano: R$      -743.828,14
ROE: -0.6500%","neg","HABITAÇÃO E URBANIZAÇÃO","Negativo"
"PA","COMPANHIA DE PORTOS E HIDROVIAS DO ESTADO DO PARÁ","TRANSPORTES","Dependente",43182470.28,32597484.47,"SIM","SIM","SIM","21523.91","Não",50,32454797.6,3760135.58,0,9275907.51,0,-9275907.51,"PORTOS E HIDROVIAS","Pará","Norte",TRUE,FALSE,0.754877714466871,"    43.182.470,28","COMPANHIA DE PORTOS E HIDROVIAS DO ESTADO DO PARÁ (PA)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: PORTOS E HIDROVIAS
PL: R$     43.182.470,28
Lucros / Prejuízos no ano: R$    32.597.484,47
ROE: 75.4900%","bem_pos","PORTOS E HIDROVIAS","Positivo"
"PA","COMPANHIA DE SANEAMENTO DO PARÁ","SANEAMENTO","Não Dependente",357365631.29,-248485246.21,"SIM","SIM","SIM",NA,"Não",1686,10708768.44,186181574.16,0,0,223343621,-223343621,"SANEAMENTO","Pará","Norte",TRUE,FALSE,-0.695324968193026,"   357.365.631,29","COMPANHIA DE SANEAMENTO DO PARÁ (PA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$    357.365.631,29
Lucros / Prejuízos no ano: R$  -248.485.246,21
ROE: -69.5300%","bem_neg","SANEAMENTO","Negativo"
"PA","EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DO PARÁ","ASSITÊNCIA TÉCNICA","Dependente",20476852.27,3258885.81,"SIM","NÃO","NÃO","40164.370000000003","Não",945,444447.9,103610642.29,0,108268724,0,-108268724,"PESQUISA E ASSISTÊNCIA TÉCNICA","Pará","Norte",FALSE,FALSE,0.159149744649694,"    20.476.852,27","EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DO PARÁ (PA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: PESQUISA E ASSISTÊNCIA TÉCNICA
PL: R$     20.476.852,27
Lucros / Prejuízos no ano: R$     3.258.885,81
ROE: 15.9100%","pos","PESQUISA E ASSISTÊNCIA TÉCNICA","Positivo"
"PA","EMPRESA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DO ESTADO DO PARÁ","INFORMÁTICA","Dependente",32669046.1,2892803.42,"SIM","SIM","NÃO","31534.74","Não",305,2892803.42,48447961.93,0,55167695.02,0,-55167695.02,"INFORMÁTICA","Pará","Norte",FALSE,FALSE,0.0885487568613153,"    32.669.046,10","EMPRESA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DO ESTADO DO PARÁ (PA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: INFORMÁTICA
PL: R$     32.669.046,10
Lucros / Prejuízos no ano: R$     2.892.803,42
ROE: 8.8500%","pos","INFORMÁTICA","Positivo"
"PB","COMPANHIA DE ÁGUA E ESGOTOS DA PARAIBA","SANEAMENTO","Não Dependente",1520720791,99721000,"SIM","SIM","SIM","0","Não",2942,0,401098000,0,0,0,0,"SANEAMENTO","Paraíba","Nordeste",TRUE,FALSE,0.0655748251685473," 1.520.720.791,00","COMPANHIA DE ÁGUA E ESGOTOS DA PARAIBA (PB)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  1.520.720.791,00
Lucros / Prejuízos no ano: R$    99.721.000,00
ROE: 6.5600%","pos","SANEAMENTO","Positivo"
"PB","COMPANHIA DE DESENVOLVIMENTO DA PARAÍBA - CINEP","OUTRO","Dependente",13158224.25,189546.74,"SIM","SIM","NÃO","0","Não",86,0,2645702.47,0,4760116.39,0,-4760116.39,"DESENVOLVIMENTO","Paraíba","Nordeste",FALSE,FALSE,0.0144051914907895,"    13.158.224,25","COMPANHIA DE DESENVOLVIMENTO DA PARAÍBA - CINEP (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$     13.158.224,25
Lucros / Prejuízos no ano: R$       189.546,74
ROE: 1.4400%","pos","DESENVOLVIMENTO","Positivo"
"PB","COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA","INFORMÁTICA","Dependente",88770870.26,2278325.27,"SIM","SIM","NÃO","0","Não",213,1728304.1,0,0,0,0,0,"INFORMÁTICA","Paraíba","Nordeste",FALSE,FALSE,0.0256652352661074,"    88.770.870,26","COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: INFORMÁTICA
PL: R$     88.770.870,26
Lucros / Prejuízos no ano: R$     2.278.325,27
ROE: 2.5700%","pos","INFORMÁTICA","Positivo"
"PB","COMPANHIA DOCAS DA PARAIBA","OUTRO","Não Dependente",77132097.35,646040.17,"SIM","SIM","NÃO","0","Não",33,0,0,0,0,0,0,"PORTOS E HIDROVIAS","Paraíba","Nordeste",FALSE,FALSE,0.00837576303764285,"    77.132.097,35","COMPANHIA DOCAS DA PARAIBA (PB)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: PORTOS E HIDROVIAS
PL: R$     77.132.097,35
Lucros / Prejuízos no ano: R$       646.040,17
ROE: 0.8400%","pos","PORTOS E HIDROVIAS","Positivo"
"PB","COMPANHIA ESTADUAL DE HABITAÇÃO POPULAR ¿ CEHAP","OUTRO","Dependente",28078342,-3054633,"SIM","SIM","NÃO","0","Não",237,0,10192490,0,17187184.14,0,-17187184.14,"HABITAÇÃO E URBANIZAÇÃO","Paraíba","Nordeste",FALSE,FALSE,-0.108789650044151,"    28.078.342,00","COMPANHIA ESTADUAL DE HABITAÇÃO POPULAR ¿ CEHAP (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$     28.078.342,00
Lucros / Prejuízos no ano: R$    -3.054.633,00
ROE: -10.8800%","neg","HABITAÇÃO E URBANIZAÇÃO","Negativo"
"PB","COMPANHIA PARAIBANA DE GÁS","DISTRIBUIÇÃO DE GÁS","Não Dependente",65174248.92,4558628.28,"SIM","SIM","SIM","0","Não",72,0,10370000,1545722.69,0,0,1545722.69,"DISTRIBUIÇÃO DE GÁS","Paraíba","Nordeste",TRUE,FALSE,0.0699452368924975,"    65.174.248,92","COMPANHIA PARAIBANA DE GÁS (PB)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$     65.174.248,92
Lucros / Prejuízos no ano: R$     4.558.628,28
ROE: 6.9900%","pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"PB","EMPRESA PARAIBANA DE COMUNICAÇÃO - EPC","COMUNICAÇÕES","Dependente",23258411.74,4884279.7,"SIM","SIM","NÃO","0","Não",287,256533.94,909914,0,4425576.77,18374132.04,-22799708.81,"COMUNICAÇÃO","Paraíba","Nordeste",FALSE,FALSE,0.210000569024237,"    23.258.411,74","EMPRESA PARAIBANA DE COMUNICAÇÃO - EPC (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: COMUNICAÇÃO
PL: R$     23.258.411,74
Lucros / Prejuízos no ano: R$     4.884.279,70
ROE: 21.0000%","pos","Demais","Positivo"
"PB","EMPRESA PARAÍBANA DE TURISMO S/A - PBTUR","OUTRO","Dependente",2397904,12987,"SIM","SIM","NÃO","0","Não",5,0,0,0,2593626,0,-2593626,"TURISMO","Paraíba","Nordeste",FALSE,FALSE,0.00541597995582809,"     2.397.904,00","EMPRESA PARAÍBANA DE TURISMO S/A - PBTUR (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: TURISMO
PL: R$      2.397.904,00
Lucros / Prejuízos no ano: R$        12.987,00
ROE: 0.5400%","pos","Demais","Positivo"
"PB","LABORAT.INDL.FARMAC.EST.PARAIBA S/A-LIFESA","SAÚDE","Dependente",794578.86,-208725.31,"SIM","SIM","NÃO","0","Não",14,0,0,0,905741.04,0,-905741.04,"SAÚDE","Paraíba","Nordeste",FALSE,FALSE,-0.262686714318073,"       794.578,86","LABORAT.INDL.FARMAC.EST.PARAIBA S/A-LIFESA (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: SAÚDE
PL: R$        794.578,86
Lucros / Prejuízos no ano: R$      -208.725,31
ROE: -26.2700%","neg","Demais","Negativo"
"PB","PBTUR HOTEIS S/A","OUTRO","Dependente",10818584,-89760,"SIM","SIM","NÃO","0","Não",1,0,0,0,52263.2,0,-52263.2,"TURISMO","Paraíba","Nordeste",FALSE,FALSE,-0.00829683441012243,"    10.818.584,00","PBTUR HOTEIS S/A (PB)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: TURISMO
PL: R$     10.818.584,00
Lucros / Prejuízos no ano: R$       -89.760,00
ROE: -0.8300%","neg","Demais","Negativo"
"PR","Administração dos Portos de Paranaguá e Antonina - APPA","Serviços Públicos","Não Dependente",498345970.27,24897095.5,"Possui","Possui","Possui","34601.550000000003","Não",520,143370858.47,76630708.67,0,0,0,0,"PORTOS E HIDROVIAS","Paraná","Sul",TRUE,FALSE,0.049959459863819,"   498.345.970,27","Administração dos Portos de Paranaguá e Antonina - APPA (PR)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: PORTOS E HIDROVIAS
PL: R$    498.345.970,27
Lucros / Prejuízos no ano: R$    24.897.095,50
ROE: 5.0000%","pos","PORTOS E HIDROVIAS","Positivo"
"PR","Centrais de Abastecimento do Paraná S/A - CEASA/PR","Agricultura","Não Dependente",129757157.44,4020064.54,"Possui","Possui","Não possui",NA,"Não",69,7070908.66,10674385.89,0,0,0,0,"ABASTECIMENTO","Paraná","Sul",FALSE,FALSE,0.0309814473383396,"   129.757.157,44","Centrais de Abastecimento do Paraná S/A - CEASA/PR (PR)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$    129.757.157,44
Lucros / Prejuízos no ano: R$     4.020.064,54
ROE: 3.1000%","pos","ABASTECIMENTO","Positivo"
"PR","Companhia de Saneamento do Paraná - SANEPAR","Saneamento","Não Dependente",6173914000,1080034000,"Possui","Possui","Possui",NA,"Sim",6985,1029604000,1094751000,79597000,0,0,79597000,"SANEAMENTO","Paraná","Sul",TRUE,FALSE,0.174935057404428," 6.173.914.000,00","Companhia de Saneamento do Paraná - SANEPAR (PR)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  6.173.914.000,00
Lucros / Prejuízos no ano: R$ 1.080.034.000,00
ROE: 17.4900%","pos","SANEAMENTO","Positivo"
"PR","Companhia de Tecnologia da Informação e Comunicação do Paraná(CELEPAR)","Informática","Não Dependente",130426088,2789250,"Possui","Possui","Possui","34602","Não",1095,7763830,193199986,627320,0,0,627320,"INFORMÁTICA","Paraná","Sul",TRUE,FALSE,0.0213856755406173,"   130.426.088,00","Companhia de Tecnologia da Informação e Comunicação do Paraná(CELEPAR) (PR)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: INFORMÁTICA
PL: R$    130.426.088,00
Lucros / Prejuízos no ano: R$     2.789.250,00
ROE: 2.1400%","pos","INFORMÁTICA","Positivo"
"PR","Companhia Paranaense de Energia - Copel","Energia","Não Dependente",17598213,2062869,"Possui","Possui","Possui","10924.64","Sim",61,1928600,1563708,112196,0,0,112196,"ENERGIA","Paraná","Sul",TRUE,FALSE,0.117220367772569,"    17.598.213,00","Companhia Paranaense de Energia - Copel (PR)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: ENERGIA
PL: R$     17.598.213,00
Lucros / Prejuízos no ano: R$     2.062.869,00
ROE: 11.7200%","pos","ENERGIA","Positivo"
